id,Name,Transition,Type of news,Icon,LAT_Y,LONG_X,Address,Town,Province,Can,Ownership,Date,What happened?,NumGoodSource,NumBadSource,Source 1,Source 2,Doc:Pub,Doc1:Pub1,Doc:SelfPub,Doc:Wiki,Doc:FishWrap,Doc:NewspaperCanada,Document4 - Unifor
219,Wainwright Star/Edge,new; merger,community paper,community paper : new; merger,52.83582,-110.859071,,Wainwright,AB,Canada,Star News Inc. ,11/1/2013,"The Wainrwright Star and the Wainwright Edge merged to create the Wainright Star/Edge, effective Nov. 1, 2013. The new community paper appears on Fridays.",1,0,https://adwestmarketing.wordpress.com/2013/10/09/awna-update-wainwright-staredge/,,https://adwestmarketing.wordpress.com/2013/10/09/awna-update-wainwright-staredge/,,,,,,
220,Wainwright Edge,closed; merger,community paper,community paper : closed; merger,52.831257,-110.866768,,Wainwright,AB,Canada,Star News Inc. ,11/1/2013,"The Wainrwright Star and the Wainwright Edge merged to create the Wainright Star/Edge, effective Nov. 1, 2013. The new community paper appears on Fridays.",1,0,https://adwestmarketing.wordpress.com/2013/10/09/awna-update-wainwright-staredge/,,https://adwestmarketing.wordpress.com/2013/10/09/awna-update-wainwright-staredge/,,,,,,
222,The Cariboo Advisor,closed; merger,community paper,community paper : closed; merger,52.1416736,-122.1416885,,Williams Lake,BC,Canada,Black Press,9/4/2013,"Black Press-owned The Cariboo Adviser, the Williams Lake Tribune and its weekend edition, Tribune Weekend, merged on Sept. 4, 2013. They were replaced by the free community paper, the Williams Lake Tribune, distributed on Wednesdays and the Weekend Advisor, published on Fridays.",0,0,http://www.wltribune.com/news/220591631.html,,,,,,,,
223,Williams Lake Tribune & the Weekend Advisor edition,new; merger,community paper,community paper : new; merger,52.131003,-122.145588,,Williams Lake,BC,Canada,Black Press,9/4/2013,"Black Press-owned The Cariboo Adviser, the Williams Lake Tribune and its weekend edition, Tribune Weekend, merged on Sept. 4, 2013. They were replaced by the free community paper, the Williams Lake Tribune, distributed on Wednesdays and the Weekend Advisor, published on Fridays.",1,1,http://www.wltribune.com/news/220591631.html,,http://www.wltribune.com/news/220591631.html,,,,,Newspapers Canada Year in Review - 2013,
224,Beaverlodge Advertiser,closed; merger,community paper,community paper : closed; merger,55.208231,-119.43698,,Beaverlodge,AB,Canada,Clayton Barkley,1/14/2014,"In January 14, 2014 the Beaverlodge Advertiser and the Beaverlodge West County News merged to create the Beaverlodge West County News & Advertiser.",1,0,https://adwestmarketing.wordpress.com/2014/01/15/awna-update-beaverlodge-west-country-news-and-advertiser/,,https://adwestmarketing.wordpress.com/2014/01/15/awna-update-beaverlodge-west-country-news-and-advertiser/,,,,,,
225,Beaverlodge West County News,closed; merger,community paper,community paper : closed; merger,55.204803,-119.415436,,Beaverlodge,AB,Canada,Next Chapter,1/14/2014,"In January 14, 2014 the Beaverlodge Advertiser and the Beaverlodge West County News merged to create the Beaverlodge West County News & Advertiser.",1,0,https://adwestmarketing.wordpress.com/2014/01/15/awna-update-beaverlodge-west-country-news-and-advertiser/,,https://adwestmarketing.wordpress.com/2014/01/15/awna-update-beaverlodge-west-country-news-and-advertiser/,,,,,,
226,Beaverlodge West County News & Advertiser,new; merger,community paper,community paper : new; merger,55.213863,-119.423333,916 2 Ave,Beaverlodge,AB,Canada,Next Chapter,1/14/2014,"In January 14, 2014 the Beaverlodge Advertiser and the Beaverlodge West County News merged to create the Beaverlodge West County News & Advertiser.",1,0,https://adwestmarketing.wordpress.com/2014/01/15/awna-update-beaverlodge-west-country-news-and-advertiser/,,https://adwestmarketing.wordpress.com/2014/01/15/awna-update-beaverlodge-west-country-news-and-advertiser/,,,,,,
227,Canmore Leader,closed; merger,community paper,community paper : closed; merger,51.0747378,-115.3599592,,Canmore,AB,Canada,Sun Media,6/26/2013,"Canmore Leader, owned by Sun Media, merged with the Banff Crag & Canyon to become the Bow Valley Crag & Canyon in June 2013. ",0,1,https://en.wikipedia.org/wiki/Canmore_Leader,,,,,https://en.wikipedia.org/wiki/Canmore_Leader,,,
228,Banff Crag & Canyon,closed; merger,community paper,community paper : closed; merger,51.1783629,-115.5707694,,Banff,AB,Canada,Sun Media,6/26/2013,"Canmore Leader, owned by Sun Media, merged with the Banff Crag & Canyon to become the Bow Valley Crag & Canyon in June 2013. ",0,1,https://en.wikipedia.org/wiki/Banff_Crag_%26_Canyon,,,,,https://en.wikipedia.org/wiki/Banff_Crag_%26_Canyon,,,
229,Bow Valley Crag & Canyon,new; merger,community paper,community paper : new; merger,51.1796166,-114.8448854,,Bow Valley,AB,Canada,Sun Media,7/3/2013,"Canmore Leader, owned by Sun Media, merged with the Banff Crag & Canyon to become the Bow Valley Crag & Canyon in June 2013. ",0,0,https://en.wikipedia.org/wiki/Canmore_Leader,https://en.wikipedia.org/wiki/Banff_Crag_%26_Canyon,,,,,,,
230,The Bridgewater Bulletin,closed; merger,community paper,community paper : closed; merger,44.381842,-64.531977,,Lunenburg,NS,Canada,Lighthouse,5/1/2011,The Bridgewater Bulletin & Lunenburg Progress Enterprise merged to become The Lunenburg County Progress Bulletin in May 2011. ,0,1,Newspapers Canada Year in Review - 2012,,,,,,,Newspapers Canada Year in Review - 2012,
231,Lunenburg Progress Enterprise,closed; merger,community paper,community paper : closed; merger,44.3770053,-64.3188354,,Lunenburg,NS,Canada,Lighthouse,5/1/2011,The Bridgewater Bulletin & Lunenburg Progress Enterprise merged to become The Lunenburg County Progress Bulletin in May 2011. ,0,1,Newspapers Canada Year in Review - 2012,,,,,,,Newspapers Canada Year in Review - 2012,
232,The Lunenburg County Progress Bulletin,new; merger,community paper,community paper : new; merger,44.3721167,-64.5208798,,Bridgewater,NS,Canada,Lighthouse,5/1/2011,The Lunenburg County Progress Bulletin was created through the merger of the Bridgewater Bulletin (est. 1887) and Lunenburg Progress Enterprise (est. 1876) in May 2011. The new publication is a locally owned independent newspaper published every Wednesday by Lighthouse Media Group.,0,2,http://www.lighthousenow.ca/papers/PB_20141119.pdf,,,,http://www.lighthousenow.ca/papers/PB_20141119.pdf,,,Newspapers Canada Year in Review - 2012,
233,Arnprior Chronicle Guide,closed; merger,community paper,community paper : closed; merger,45.3100033,-76.5200139,,White Lake,ON,Canada,Metroland,10/18/2011,Metroland purchased Arnprior EMC and merged it with the Arnprior Chronicle Guide to create the Arnprior Chronicle EMC in October 2011. ,0,3,http://metroland.com/newspapers,https://en.wikipedia.org/wiki/Arnprior#Media,,,http://metroland.com/newspapers,https://en.wikipedia.org/wiki/Arnprior#Media,,Newspapers Canada Year in Review - 2012,
234,Arnprior EMC,closed; merger,community paper,community paper : closed; merger,45.4658182,-76.4069648,,Braeside,ON,Canada,EMC,10/18/2011,Metroland purchased Arnprior EMC and merged it with the Arnprior Chronicle Guide to create the Arnprior Chronicle EMC in October 2011. ,0,3,http://metroland.com/newspapers,https://en.wikipedia.org/wiki/Arnprior#Media,,,http://metroland.com/newspapers,https://en.wikipedia.org/wiki/Arnprior#Media,,Newspapers Canada Year in Review - 2012,
235,Arnprior Chronicle Guide EMC,new; merger,community paper,community paper : new; merger,45.4347445,-76.3518469,,Arnprior,ON,Canada,Metroland,10/18/2011,Metroland purchased Arnprior EMC and merged it with the Arnprior Chronicle Guide to create the Arnprior Chronicle EMC in October 2011. ,0,3,http://metroland.com/newspapers,https://en.wikipedia.org/wiki/Arnprior#Media,,,http://metroland.com/newspapers,https://en.wikipedia.org/wiki/Arnprior#Media,,Newspapers Canada Year in Review - 2012,
